ISSN,E-ISSN,Başlık
"1303-6963","2587-1870","Dokuz Eylül Üniversitesi Hukuk Fakültesi Dergisi"
"1302-504X","2147-7973","Dokuz Eylül Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1303-3344",,"DOKUZ EYLÜL ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
,"3062-1119","Dokuz Eylül Üniversitesi İşletme Fakültesi Dergisi"
,"2547-958X","Dokuz Eylül Üniversitesi Mühendislik Fakültesi Fen ve Mühendislik Dergisi"
,"1308-0911","Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2602-3148","Dokuz Eylül Üniversitesi Tıp Fakültesi Dergisi"
"1012-0726","1308-2477","DSİ Teknik Bülteni"
"1302-3055","2651-2769","Dumlupınar Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"2587-005X","Dumlupınar Üniversitesi Sosyal Bilimler Dergisi"
"1309-601X",,"Düşünce dünyasında Türkiz"
"1018-8681","1309-5749","Düşünen Adam - Psikiyatri ve Nörolojik Bilimler Dergisi"
,"2980-2814","Düzce ilahiyat dergisi"
,"1307-671X","Düzce Tıp Fakültesi Dergisi"
,"2148-2446","Düzce Üniversitesi Bilim ve Teknoloji Dergisi"
,"2148-7855","Düzce Üniversitesi Orman Fakültesi Ormancılık Dergisi"
"2146-443X",,"Düzce Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi"
,"2147-1924","E Journal of Cardiovascular Medicine"
,"1308-9633","e-Şarkıyat İlmi Araştırmalar Dergisi"
"1301-0883","1339-3886","Eastern Journal of Medicine"
,"2687-2110","Ebelik ve Sağlık Bilimleri Dergisi"
,"2602-4616","Edebî Eleştiri Dergisi"
,"2822-3535","Educational academic research (Online)"
"1303-099X","2651-3021","Ege Akademik Bakış"
,"2636-8056","EGE COĞRAFYA DERGİSİ"
,"1307-4474","Ege Eğitim Dergisi"
"2148-0990",,"Ege Klinikleri Tıp Dergisi"
"1300-9745",,"Ege Pediatri Bülteni"
,"2149-0465","EGE STRATEJİK ARAŞTIRMALAR DERGİSİ"
"1016-9113","2147-6500","Ege Tıp Dergisi"
"0254-5527",,"Ege University Journal of The Faculty of Science"
"2146-7765",,"Ege Üniversitesi Devlet Türk Musikisi Konservatuarı Dergisi"
"1302-7476","1300-3038","Ege Üniversitesi Diş Hekimliği Fakültesi"
"0254-5527",,"Ege Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,,"Ege Üniversitesi Fen Fakültesi Dergisi Seri A - B"
"2147-3463","2667-6648","Ege Üniversitesi Hemşirelik Fakültesi Dergisi"
"1018-8851","2548-1207","Ege Üniversitesi Ziraat Fakültesi Dergisi"
"1303-9202",,"Eğitim Bilim Toplum"
,"2147-1908","Eğitim Teknolojisi Kuram ve Uygulama"
"1300-1337",,"Eğitim ve Bilim"
"1309-8659",,"EĞİTİM VE İNSANİ BİLİMLER DERGİSİ: TEORİ VE UYGULAMA"
,"2148-2624","Eğitimde Nitel Araştırmalar Dergisi"
,"1309-6575","Eğitimde ve Psikolojide Ölçme ve Değerlendirme Dergisi"
"1301-6229","2148-0710","EKEV AKADEMİ DERGİSİ"
"1305-8282","1309-0313","Eklem Hastalıkları ve Cerrahisi Dergisi (Eski Adı: Artroplasti Artroskopik Cerrahi Derg.)"
,"2651-396X","Ekoist journal of econometrics and statistics (Online)"
"1300-1361",,"Ekoloji"
"1300-1361",,"Ekoloji Çevre Dergisi"
"2146-6173","2791-7991","Ekonomi-tek (Online)"
,"2587-151X","Ekonomi, Politika & Finans Araştırmaları Dergisi"
"1306-2174","1306-3553","Ekonomik ve Sosyal Araştırmalar Dergisi"
"1300-1868","2791-9439","Ekonomik Yaklaşım"
,"2148-3736","El-Cezerî Journal of Science and Engineering"
,"2619-9831","Electrica"
"0013-5402",,"Elektrik Mühendisliği"
,"1304-0278","Elektronik Sosyal Bilimler Dergisi (elektronik)"
,"1309-5803","EMakalat Mezhep Araştırmaları Dergisi"
"1305-6182",,"Emek Araştırma Dergisi"
"1309-5501",,"EMO Bilimsel Dergi"
,"2822-6135","Endocrinology research and practice"
,,"Endokrinolojide Diyalog Dergisi"
"1300-7017",,"Endokrinolojide Yönelişler"
"1302-5422","2149-0597","Endoskopi"
,"2148-0532","Endoüroloji Bülteni"
"1300-3410","2667-7539","Endüstri Mühendisliği"
"2149-7109","2149-6498","ENT Updates"
,"2149-7877","ENTcase"
,"2636-8498","Environmental Research & Technology"
"1300-7157",,"Epilepsi"
"1308-3198","2667-5811","Erciyes İletişim Dergisi"
"2149-2247","2149-2549","Erciyes Medical Journal"
"1300-199X",,"Erciyes Tıp Dergisi"
"1012-2354",,"Erciyes Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"1306-3839","2822-3012","Erciyes Üniversitesi Hukuk Fakültesi Dergisi"
"1301-3688","2630-6409","Erciyes Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1304-7280",,"Erciyes Üniversitesi Veteriner Fakültesi Dergisi"
"1010-867X","2667-8713","Erdem"
,"2651-4877","Ergonomi (Online)"
"2147-8945",,"Ergoterapi ve Rehabilitasyon Dergisi"
,"2564-7601","Erken Çocukluk Çalışmaları Dergisi"
"1303-068X","2687-3214","Ermeni Araştırmaları Dergisi"
"2651-494X","2791-6502","Erzincan Binali Yıldırım Üniversitesi Hukuk Fakültesi dergisi"
,"2148-7758","Erzincan Üniversitesi Eğitim Fakültesi Dergisi"
,"2149-4584","Erzincan Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"1302-4256",,"Erzincan Üniversitesi Hukuk Fakültesi Dergisi"
,"2717-8706","Erzurum Teknik Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2718-0948","Eskisehir medical journal (Online)"
,"1306-6293","Eskişehir Osmangazi Üniversitesi İktisadi ve İdari Bilimler Dergisi"
"2147-8171",,"Eskişehir Osmangazi Üniversitesi İlahiyat Fakültesi Dergisi"
,"2630-5712","Eskişehir Osmangazi Üniversitesi mühendislik ve mimarlık fakültesi dergisi (online)"
,"2149-9047","Eskişehir Osmangazi Üniversitesi Sosyal Bilimler Dergisi"
,"2667-4211","Eskişehir Technical University Journal of Science and and Technology A- Applied Sciences and Engineering"
,"2667-419X","Eskişehir Teknik Üniversitesi Bilim ve Teknoloji Dergisi b- Teorik Bilimler"
,"2667-4203","Eskişehir Teknik Üniversitesi Bilim ve Teknoloji Dergisi C- yaşam Bilimleri ve Biyoteknoloji (Online)"
,"2564-6311","Eskişehir Türk dünyası uygulama ve araştırma merkezi halk sağlığı dergisi (Online)"
"1306-6218","2636-8536","Eskiyeni"
,"2791-9552","Essentials of dentistry (Online)"
,"2980-3527","Etkili hemşirelik dergisi"
"1016-3573",,"Etlik Veteriner Mikrobiyoloji Dergisi"
,"2147-4249","EURASIAN JOURNAL OF SOIL SCIENCE"
,"2149-1135","Eurasian Journal of Applied Linguistics"
,"1307-9867","EurAsian Journal of BioSciences (elektronik)"
"1302-597X","2528-8911","Eurasian Journal of Educational Research"
"2149-5807","2149-6048","Eurasian Journal of Emergency Medicine"
"2147-3161","2147-3404","Eurasian Journal of Family Medicine"
,"2147-7493","Eurasian Journal of Forest Science"
,"2602-3164","Eurasian Journal of Medical Investigation"
"1308-8734","1308-8742","Eurasian Journal of Medicine"
"2587-2400","2587-196X","Eurasian Journal of Medicine and Oncology"
,"2651-4818","Eurasian journal of music and dance (Online)"
,"2148-5402","Eurasian Journal of Pulmonology"
"1309-6958",,"Eurasian Journal of Veterinary Sciences"
,"2148-2683","Europan Journal of Science and Technology"
,"2757-6744","European annals of dental sciences (Online)"
"2651-3137","2651-3153","European Archives of Medical Research"
,"2548-0839","European Endodontic Journal"
"2757-8135","2757-9816","European eye research"
,"2618-6144","European Journal of Biology"
,"2587-0831","European Journal of Breast Health"
"2148-5798","2149-0317","European Journal of Forensic Sciences"
,"2149-5637","European Journal of Forest Engineering"
,"1304-3897","European Journal of General Medicine"
,"2687-2625","European journal of geriatrics and gerontology (Online)"
,,"European Journal of Pure and Applied Mathematics (elektronik)"
"2147-9720","2148-4279","European Journal of Rheumatology"
,"2636-8072","European journal of rhinology and allergy (Online)"
,"2536-5134","European Journal of Technique"
"2564-7784","2564-7040","European Journal of Therapeutics"
,"2587-1110","European Mechanical Science"
"2630-6158","2651-2823","European oral research (Online)"
,"2667-5846","EXPERIMED"
,"2618-6454","Experimental Biomedical Research"
"1306-9535",,"F L S F / Süleyman Demirel Üniversitesi Felsefe Dergisi"
,"2651-4648","FABAD Journal of Pharmaceutical Sciences"
,"1309-128X","Fe Dergi"
"0378-2816","2667-7644","Felsefe Arkivi"
"1301-0875",,"Felsefe Dünyası"
"2148-0958",,"Felsefi Düşün - Akademik Felsefe Dergisi"
,"2717-6711","Feminist tahayyül: Akademik Araştırmalar Dergisi"
,"2148-2160","Fen Bilimleri Öğretimi Dergisi"
"1300-9818","2147-124X","Fırat Tıp Dergisi"
"1300-2708",,"Fırat Üniversitesi Fen ve Mühendislik Bilimleri Dergisi"
"1304-639X",,"FIRAT ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
"1308-9072",,"Fırat Üniversitesi Mühendislik Bilimleri Dergisi"
"1012-0173",,"Fırat Üniversitesi Sağlık Bilimleri Dergisi"
"1308-9315","2148-8797","Fırat Üniversitesi Sağlık Bilimleri Tıp Dergisi"
"1308-9323","2149-1712","Fırat Üniversitesi Sağlık Bilimleri Veteriner Dergisi"
"1300-9702","2149-3243","Fırat Üniversitesi Sosyal Bilimler Dergisi"
,"2667-4793","Fides law review (Online)"
,"2667-6907","Finans Politik ve Ekonomik Yorumlar Dergisi"
"1309-1123","2529-0029","Finansal Araştırmalar ve Çalışmalar Dergisi"
,"2822-2881","Firat University journal of experimental and computational engineering (Online)"
,"2564-7504","Fiscaoeconomia"
"1301-4668",,"Fiziksel Tıp"
,"1307-7384","Fiziksel Tıp ve Rehabilitasyon Bilimleri Dergisi"
"1300-8757",,"Fizyoterapi Rehabilitasyon"
"1300-932X",,"Flora İnfeksiyon Hastalıkları ve Klinik Mikrobiyoloji Dergisi"
"2147-4923","2147-8686","Florence Nightingale Hemşirelik Dergisi"
,"2687-6442","Florence Nightingale journal of nursing (Online)"
,"2618-5784","FLSF (Felsefe ve Sosyal Bilimler Dergisi)"
,"2651-253X","Folklor akademi dergisi (Online)"
"1300-7491","2791-6057","Folklor/Edebiyat"
,"2602-2834","Food and Health"
"2717-9443","2757-5241","Forbes tıp dergisi (Online)"
,"2602-4039","FORESTIST"
,"3023-7165","Frankofoni"
,"2718-062X","Frontiers in Life Sciences and Related Technologies (Online)"
"2147-3153","2148-2217","FSM İlmi Araştırmalar İnsan ve Toplum Bilimler Dergisi"
,"2645-8845","Fundamental journal of mathematics and applications (Online)"
,"2717-6185","Fundamentals of contemporary mathematical sciences (Online)"
"1303-6556",,"Galatasaray  Üniversitesi Hukuk Fakültesi Dergisi"
"1307-9778","1309-5137","Gazi Akademik Bakış"
,"2717-9966","Gazi Beden Eğitimi ve Spor Bilimleri Dergisi (Online)"
,"3108-5342","Gazi Eğitim Fakültesi Dergisi"
,"2548-0162","Gazi İktisat ve İşletme Dergisi"
,"2147-2092","Gazi Medical Journal"
,"2149-9373","Gazi Mühendislik Bilimleri Dergisi"
"1307-914X","2979-9368","Gazi Türkiyat"
,"2147-1762","Gazi University Journal of Science"
,"2147-9542","Gazi University Journal of Science Part A: Engineering and Innovation"
"1300-3100",,"Gazi Üniversitesi Diş Hekimliği Fakültesi Dergisi"
"1303-9709",,"Gazi Üniversitesi Fen Bilimleri Dergisi"
,"2147-9526","Gazi Üniversitesi Fen Bilimleri Dergisi Part C: Tasarım ve Teknoloji"
"1300-1833",,"Gazi Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"2757-5543","Gazi Üniversitesi Fen Fakültesi dergisi (Online)"
"1302-0013",,"Gazi Üniversitesi Hukuk Fakültesi Dergisi"
,"2148-1792","Gazi Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1300-8811",,"Gazi Üniversitesi Kastamonu Eğitim Dergisi"
"1302-5007",,"Gazi Üniversitesi Kırşehir Eğitim Fakültesi Dergisi"
"1300-1884","1304-4915","Gazi Üniversitesi Mühendislik Mimarlık Fakültesi Dergisi"
"1301-4838",,"Gazi Üniversitesi Ticaret ve Turizm Eğitim Fakültesi Dergisi"
"2148-3132","2148-2926","Gaziantep Medical Journal"
"1300-0888",,"Gaziantep Tıp Dergisi"
"1303-0094","2149-5459","Gaziantep Üniversitesi Sosyal Bilimler Dergisi"
"2147-8422","2687-4679","Gaziosmanpaşa Üniversitesi İlahiyat Fakültesi Dergisi"
"1300-2910","2147-8848","Gaziosmanpaşa Üniversitesi Ziraat Fakültesi Dergisi"
,"2630-6425","Geleneksel ve Tamamlayıcı Tıp Dergisi"
"1300-1973","2651-530X","Gemi ve Deniz Teknolojisi"
"2147-8473","2791-8157","GENÇLİK ARAŞTIRMALARI DERGİSİ"
,"2687-5403","Genel Sağlık Bilimleri Dergisi"
,"2602-3741","Genel Tıp Dergisi"
,"2667-5366","Genel Türk Tarihi Araştırmaları Dergisi"
,"2564-6761","Geomatik"
"1019-1003",,"Geosound"
"1301-921X",,"Geriatri"
,"2636-8315","Geriatrik Bilimler Dergisi (Online)"
,"1309-6273","GIDA"
"1303-3107","2822-2873","Gıda ve yem bilimi-teknolojisi dergisi"
"2147-5792","2687-234X","Girişimcilik ve İnovasyon Yönetim Dergisi"
,"2822-4078","Global emergency and critical care (Online)"
,"3108-3935","Global nursing insights"
,"2717-7157","Glokom Katarakt"
"1300-4751","2602-4918","GORM:Gynecology Obstetrics & Reproductive Medicine"
,"2548-0669","Göğüs Kalp Damar Anestezi ve Yoğun Bakım Derneği Dergisi"
"1300-526X",,"Göztepe Tıp Dergisi"
,"2757-7163","Grand journal of urology (Online)"
,"2619-9556","Grid - architecture, planning and design journal (Online)"
,"2645-9116","GSI Journals Serie A: Advancements in Tourism Recreation and Sports Sciences"
"1300-0543",,"Gülhane Askeri Tıp Akademisi Bülteni"
"1302-0471","2146-8052","Gülhane Tıp Dergisi"
,"2146-538X","Gümüşhane Üniversitesi Fen Bilimleri Dergisi"
,"2146-7900","GÜMÜŞHANE ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
,"2146-3301","Gümüşhane Üniversitesi İletişim Fakültesi Elektronik Dergisi"
,"2146-9954","Gümüşhane Üniversitesi Sağlık Bilimleri Dergisi"
,"1309-7423","Gümüşhane Üniversitesi Sosyal Bilimler Dergisi"
,"1308-6308","Güncel Pediatri"
"2548-0693","2564-7156","Güncel Retina Dergisi"
,"2602-3008","Güncel turizm araştırmaları dergisi (Online)"
"1301-6253",,"Güneydoğu Anadolu Ormancılık Araştırma Enstitüsü Dergisi"
"2147-2912","2147-5075","Güvenlik Bilimleri Dergisi"
"2148-6166",,"Güvenlik Çalışmaları Dergisi"
"1305-4740",,"Güvenlik Stratejileri Dergisi"
"0072-9221",,"Hacettepe Bulletin of Natural Sciences and Engineering Series A / Biology and Chemistry"
"1300-4263",,"Hacettepe Bulletin of Natural Sciences and Engineering Series B / Mathematics and Statistics"
"0250-5207",,"Hacettepe Dişhekimliği Fakültesi Derg.(. Clinical Dentistry and Research)"
"0072-9221",,"Hacettepe Fen ve Mühendislik Bilimleri Dergisi Seri A"
"1300-4263",,"Hacettepe Fen ve Mühendislik Bilimleri Dergisi Seri B: Matematik ve İstatistik"
"1300-4271",,"Hacettepe Fen ve Mühendislik Bilimleri Dergisi Seri C: Kimya"
"2146-1708","1302-4868","Hacettepe Hukuk Fakültesi Dergisi"
,"2687-475X","Hacettepe Journal of Biology and Chemistry"
,"2651-477X","Hacettepe Journal of Mathematics and Statistics"
"1018-0877",,"Hacettepe Ortopedi Dergisi / Hacettepe Journal of Orthopedic Surgery"
"1302-9282","2148-9041","Hacettepe Sağlık İdaresi Derg.*"
,"2148-9041","Hacettepe Sağlık İdaresi Dergisi"
,"2458-8806","Hacettepe Üniversitesi Eczacılık Fakültesi Dergisi"
"1301-5737","2630-5976","Hacettepe Üniversitesi Edebiyat Fakültesi Dergisi"
,"2536-4758","Hacettepe Üniversitesi Eğitim Fakültesi Dergisi"
"2148-3590","2149-2956","Hacettepe Üniversitesi Hemşirelik Fakültesi Dergisi"
,"1309-6338","Hacettepe Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2149-0813","Hacettepe Üniversitesi Sağlık Bilimleri Fakültesi Dergisi"
,"2822-6941","Hacettepe Üniversitesi Türkiyat Araştırmaları Dergisi"
,"2667-5455","HADITH"
,"2718-0956","Hamidiye Medical Journal"
"2458-7834",,"Hand and Microsurgery"
"1300-5790","2667-4084","Harita Dergisi"
,"1309-3983","Harita Teknolojileri Elektronik Dergisi"
"1300-3534",,"Harita ve Kadastro Mühendisliği"
,"2791-6812","Harran ilahiyat dergisi (Online)"
,"2587-1358","Harran Tarım ve Gıda Bilimleri Dergisi"
"1303-2054","2564-7741","Harran Üniversitesi İlahiyat Fakültesi Dergisi"
,"1309-4025","Harran Üniversitesi Tıp Fakültesi Dergisi"
"2146-717X","2146-7188","Harran Üniversitesi Veteriner Fakültesi Dergisi"
"1300-6819",,"Harran Üniversitesi Ziraat Fakültesi Dergisi"
"1302-0072","2147-2688","Haseki Tıp Bülteni"
,"2757-7317","Havacılık ve uzay çalışmaları dergisi (Online)"
"1304-0448","2148-1059","Havacılık ve Uzay Teknolojileri Dergisi"
"1300-6363",,"Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Tıp Dergisi"
"1300-6363",,"Haydarpaşa Numune Hastanesi Tıp Dergisi"
"2630-5720",,"Haydarpaşa Numune Medical Journal"
,"2602-4829","Hayef:journal of education (Online)"
"1300-2031",,"Hayvancılık Araştırma Dergisi"
"1301-9597","2645-9043","Hayvansal Üretim"
"2687-6515","2687-6019","Hazine-i Evrak Arşiv ve Tarih Araştırmaları Dergisi"
,"2791-6022","Health sciences quarterly (Online)"
"1307-9557","1307-9549","Hemşirelikte Araştırma Geliştirme Dergisi"
"1305-0397",,"Hemşirelikte Eğitim ve Araştırma"
"1307-5888","1307-5888","Hepatology forum"
,"2458-8636","Hikmet-akademik edebiyat dergisi (Online)"
"1309-4688","1309-4173","History Studies"
"2757-6957","2757-6949","Hitit ilahiyat dergisi"
,"2687-4717","Hitit medical journal (Online)"
,"2757-7449","Hitit Sosyal Bilimler Dergisi (Online)"
"2651-3978","2636-8110","Hitit Üniversitesi İlahiyat Fakültesi Dergisi"
,"2536-4944","Hitit Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2148-4171","Hittite Journal of Science and Engineering"
"1300-3534",,"HKM Jeodezi Jeoinformasyon Arazi Yönetimi Dergisi"
"2717-882X","2149-2182","Horticultural Studies"
"1307-1955","2651-2564","Hukuk ve Adalet Eleştirel Hukuk Dergisi"
"1309-9493",,"Human Rights Review"
"2147-088X",,"Humanitas - Uluslararası Sosyal Bilimler Dergisi"
,"2147-9380","ICONARP International Journal Of Architecture And Planning"
,"2687-5373","IDA: International Design and Art Journal (Online)"
,"2536-4618","Iğdır Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"2147-5717","2147-6152","Iğdır Üniversitesi Sosyal Bilimler Dergisi"
"2146-5886","2147-172X","IIB International Refereed Academic Social Sciences Journal"
,"2667-646X","Infectious diseases and clinical microbiology (Online)"
"1302-177X",,"Insight Turkey"
,"2980-1915","Interdisciplinary medical journal"
,"2149-3669","Intermedia International e-Journal"
,"3062-3065","Internatıonal archives of dental sciences"
,"1308-5581","INTERNATIONAL JOURNAL OF EARLY CHILDHOOD SPECIAL EDUCATION"
,"2147-0030","INTERNATIONAL JOURNAL OF INFORMATION SECURITY SCIENCE"
,"2618-575X","International Advanced Researches and Engineering Journal"
,"2146-1767","International Dental Research"
"1308-8793","1308-8815","International Econometric Review"
,"1307-5624","International Electronic Journal of Geometry"
"2602-3350",,"International Journal of 3D Printing Technologies and Digital Industry"
,"2636-8277","International journal of advances in engineering and pure sciences (Online)"
"2602-246X","2618-5946","International Journal of Agriculture, Environment and Food Sciences"
,"2148-7456","International Journal of Assessment Tools in Education"
,"2146-9067","International Journal of Automotive Engineering and Technologies"
,"2587-0963","International Journal of Automotive Science and Technology"
,"2687-525X","International journal of aviation science and technology (Online)"
,"2602-277X","International Journal of Chemistry and Technology (IJCT)"
,"2149-9144","International Journal of Computational and Experimental Science and Engineering"
,"2718-1022","International journal of educational studies and policy (Online)"
,"2717-7513","International journal of energy studies (Online)"
,"2548-0960","International Journal of Engineering and Geosciences"
,"2148-9173","International Journal of Environment and Geoinformatics"
,,"International Journal of Environmental and Science Education (elektronik)"
,"2630-6336","International journal of geography and geography education (Online)"
,"2587-1943","International Journal of Innovative Engineering Applications"
,"2147-6799","International Journal of Intelligent Systems and Applications in Engineering"
,"2149-2751","International Journal of Kurdish Studies"
"2587-2362","2618-642X","International Journal of Medical Biochemistry"
,"2618-6209","International Journal of Modern Education Studies"
,"2630-6263","International journal of political science & urban studies (online)"
,"2548-0499","International Journal of Public Finance (Online)"
"2149-0910",,"International Journal of Pure and Applied Sciences"
,"2148-6905","International Journal of Secondary Metabolite"
"1307-8364","1307-9999","International Journal of Social Inquiry"
,"2146-1511","International journal of thermodynamics"
,"2717-7491","International journal of traditional and complementary medicine research (Online)"
,"1300-915X","International Online Journal of Primary Education"
,"2667-4408","Intraders international trade academic journal (Online)"
,"2148-225X","IOJET"
,"2667-7725","Isı Bilimi ve Tekniği Dergisi"
,"2717-7238","ISPEC journal of agricultural sciences (Online)"
,"2630-5488","Istanbul business research"
"2651-5385","2687-4504","Istanbul Journal of arabic studies (Online)"
,"2980-3020","Istanbul journal of mathematics"
"2548-0731","2587-2087","Istanbul Journal of Pharmacy"
,"2619-9254","Istanbul Management Journal"
"1303-5495","2717-7483","Istanbul Ticaret Üniversitesi Sosyal Bilimler Dergisi"
"1303-0914",,"Istanbul University Journal of Electrical and Electronics Engineering"
"1304-4583",,"ITU Journal Series A: Architecture, Planning, Design"
"1300-7041",,"IUFS Journal of Biology"
"1301-1650",,"İ M K B Dergisi"
"1302-1923",,"İbn-i Sina Tıp Dergisi"
"1302-9452",,"İç Anadolu Ormancılık Araştırma Enstitüsü Teknik Bülten"
"1301-191X",,"İç Anadolu Tıp Dergisi"
"1300-9338",,"İç Hastalıkları Dergisi (:Dahili Tıp Bilimleri Dergisi )"
,"2602-3377","İçtimaiyat (Online)"
"1303-8818","2687-2897","İdare hukuku ve ilimleri dergisi"
"1307-9905","2602-2133","İdealkent"
,"2149-2344","İHYA Uluslararası İslam Araştırmaları Dergisi"
,"2564-7466","İktisadi İdari ve Siyasal Araştırmalar Dergisi"
"1302-3535","2980-3268","İktisat Dergisi"
,"2148-3876","İktisat Politikasi Araştırmaları Dergisi"
"2149-3979","2651-2718","İlahiyat Akademi"
"1309-1786","1309-1719","İlahiyat Studies: A Journal on Islamic and Religious Studies"
,"2602-3946","İlahiyat Tetkikleri Dergisi"
,"2548-124X","İleti-ş-im"
,"2147-4524","İletişim Kuram ve Araştırma Dergisi"
"2147-6772","2791-7649","İletişim ve diplomasi"
,"1305-3515","İlköğretim Online (elektronik)"
,"2717-7475","İmalat Teknolojileri ve Uygulamaları (Online)"
,"2602-4446","İmgelem (Online)"
"1011-6516",,"İnfeksiyon Dergisi"
,"2149-9683","İnönü Üniversitesi Eğitim Fakültesi Dergisi"
"2146-1082","2667-5714","İnönü Üniversitesi Hukuk Fakültesi Dergisi"
,"2528-9519","İnönü Üniversitesi İletişim Fakültesi Elektronik Dergisi"
,"2147-7892","İnönü üniversitesi Sağlık Hizmetleri Meslek Yüksek Okulu Dergisi"
"1300-1744",,"İnönü Üniversitesi Tıp Fakültesi Dergisi"
"1300-1744",,"İnönü Üniversitesi Turgut Özal Tıp Merkezi Dergisi"
,"2147-0936","İnönü Üniversitesi Uluslararası Sosyal Bilimler Dergisi"
"2146-7099","2602-2745","İnsan & Toplum"
"1016-7617",,"İnsan Hakları Yıllığı"
,"2148-7537","İnsan ve İnsan"
,"2147-1185","İnsan ve Toplum Bilimleri Araştırmaları Dergisi"
"1309-8772",,"İnternet Uygulamaları ve Yönetimi"
,"1309-8810","İnternet Uygulamaları ve Yönetimi Dergisi"
,"2651-4370","İran Çalışmaları Dergisi"
"1301-3289","2822-2903","İslam Araştırmaları Dergisi"
"2149-3820","2651-5342","İslam Ekonomisi ve Finansı Dergisi"
"1304-1045","2791-9730","İslam Hukuku Araştırmaları Dergisi"
,"2149-0872","İslam Medeniyeti Araştırmaları Dergisi"
,"2717-6967","İslam Tetkikleri Dergisi"
,"1304-6810","İslami Araştırmalar"
,"3023-7661","İslami İlimler Dergisi"
"2536-4499","2602-2605","İstanbul Gelişim Üniversitesi Sağlık Bilimleri Dergisi"
"2148-4287","2148-7189","İstanbul Gelişim Üniversitesi Sosyal Bilimler Dergisi"
"2636-7734",,"İstanbul hukuk mecmuası"
,"2602-3954","İstanbul İktisat Dergisi"
"2148-273X",,"İstanbul Kanuni Sultan Süleyman Tıp Dergisi"
"2148-4902","2536-4553","İstanbul Kuzey Klinikleri"
"1309-8837",,"İstanbul Kültür Üniversitesi Hukuk Fakültesi Dergisi"
"2757-7082",,"İstanbul Medeniyet Üniversitesi Hukuk Fakültesi dergisi"
"2619-9793","2148-094X","İstanbul Medical Journal"
"2148-6883",,"İstanbul Medipol Üniversitesi Hukuk Fakültesi Dergisi"
"0368-0584",,"İstanbul Teknik Üniversitesi Dergisi"
"1304-8503","2148-094X","İstanbul Tıp Dergisi"
,"1305-6441","İstanbul Tıp Fakültesi Dergisi"
"1305-7820","2587-165X","İstanbul Ticaret Üniversitesi Fen Bilimleri Dergisi"
"0535-8418",,"İstanbul Üniv. Orman Fak. Derg. Seri:A"
,"2717-6959","İstanbul Üniversitesi Çeviribilim Dergisi"
"0257-8212",,"İstanbul Üniversitesi Diş Hekimliği Fakültesi Dergisi"
,"2602-2648","İstanbul Üniversitesi Edebiyat Fakültesi Türk Dili ve Edebiyatı Dergisi"
"1015-5295",,"İstanbul Üniversitesi Fen Fakültesi Astronomi ve Fizik Dergisi"
"1304-4869",,"İstanbul Üniversitesi Florence Nightingale Hemşirelik Yüksekokulu Dergisi"
"1303-4375",,"İstanbul Üniversitesi Hukuk Fakültesi Mecmuası"
"1304-0235",,"İstanbul Üniversitesi İktisat Fakültesi Mecmuası"
"1303-5746",,"İstanbul Üniversitesi İlahiyat Fakültesi Dergisi"
"1302-633X",,"İstanbul Üniversitesi İletişim Fakültesi Dergisi"
,,"İstanbul Üniversitesi İstanbul Tıp Fakültesi Mecmuası"
"1303-1732",,"İstanbul Üniversitesi İşletme Fakültesi Dergisi"
"1016-9806",,"İstanbul Üniversitesi Mühendislik Fakültesi Yerbilimleri Dergisi"
"0535-8418","1309-6257","İstanbul Üniversitesi Orman Fakültesi Dergisi"
"0535-8418",,"İstanbul Üniversitesi Orman Fakültesi Dergisi Seri B"
"1303-1260","2148-5356","İstanbul Üniversitesi Siyasal Bilgiler Fakültesi Dergisi"
,"2667-6931","İstanbul Üniversitesi Sosyoloji Dergisi"
"0250-2836","2148-8320","İstanbul Üniversitesi Veteriner Fakültesi Dergisi"
"2148-3760",,"İstanbul Yeni Yüzyıl Üniversitesi Hukuk Fakültesi Dergisi"
"1012-3741",,"İstanbul Yerbilimleri Dergisi"
"1300-4077",,"İstatistik. Türk İstatistik Derneği Dergisi"
,"1308-0539","İstatistikçiler Dergisi: İstatistik ve  Aktüerya"
,"2602-408X","İstem"
"1308-4070","2149-8148","İş Ahlakı Dergisi"
"2148-9874",,"İş Güç, Endüstri İlişkileri ve İnsan Kaynakları Dergisi"
